id,name,category,note,url
501,target redcard,credit card,,https://www.target.com/redcard/credit-card-application
502,dell shipping,shopping cart,,https://www.dell.com/en-us/cart/shipping
503,tiger product registration,product registration,,https://tiger-corporation-us.com/support/product-registration/product-registration-form/
504,Costco citi card,credit card,,https://www.citicards.com/cards/credit/application/flow.action?app=UNSOL&sc=GIDP13G7&m=X44H111111W&B=S&ID=3405&uc=GEJ&t=t
505,Chase preferred,credit card,,https://applynow.chase.com/FlexAppWeb/renderApp.do?SPID=FRTZ&CELL=61DS&PROMO=DF01
506,Wells fargo visa signature,credit card,,https://apply.wellsfargo.com/creditcard?execution=e1s1&page=OSMA_APPL_YOUR_INFORMATION_PAGE&token=TycGX61JbkEA0nsWlg6tAGfo77KMWPb7
507,Bank of America Cash Rewards credit card,credit card,,https://secure.bankofamerica.com/applynow/welcome.go
508,Bank of the West credit card,credit card,,https://accountopening.bankofthewest.com/oflows/web/apprequest.seam?prod=any_deposit_checking&cid=94609
509,Capital One credit card,credit card,,https://www.capitalone.com/credit-cards/prequalify?external_id=WWW_WD901_ZZZ_ONL-SE_AAAGO_T_SEM2_ZZZZ_c_Zg_994646c7-8472-4246-b8f3-23c997b43b9b_259809969057_89920&target_id=aud-366961792216:kwd-24848730
510,Alaska Air Miles ,credit card,BoA,https://secure.bankofamerica.com/applynow/welcome.go
511,Williams Sonoma Visa credit card,credit card,,https://d.comenity.net/williamssonomavisa/public/apply/Apply.xhtml?gclid=Cj0KCQjw5LbWBRDCARIsALAbcOc1xlPtDnqxJ8lKarZDY1g2jitRRFXjfQLlmRrPYNeOBdAZmswJkxQaAr8_EALw_wcB&cm_ven=NonBrandSearch&Kenshoo=994646c7-8472-4246-b8f3-23c997b43b9b&cm_ite=best+credit+card+offers&cm_pla=NonBrand_Search_Credit+Card_Remarketing+Broad&cm_cat=Google
512,Crate and Barrel credit card,credit card,,https://www.crateandbarrel.com/credit-card/
513,West Elm credit card,credit card,,https://d.comenity.net/westelm/pub/apply/ApplyIntro.xhtml
514,US Bank Gold Flex Bank,credit card,,https://apply.usbank.com/applications/credit-cards/about-you
515,Home Depot credit card,credit card,,https://citiretailservices.citibankonline.com/CRS/acq/launch/index.action?app=UNSOL&siteId=PLCN_HOMEDEPOT&sc=30005&cmp=A~C~C~A~1~5~ZZZZ~ZZ~HD~ZZ
516,Lowes credit card,credit card,,https://apply.syf.com/eapply/dapplycardSubmit.action
517,Applied Bank,credit card,,https://appliedcreditnow.com/business/applystepone.aspx?sid=59&hid=221343586&cd=650161&c1=$siteid$&c2=552180419231410030&c3=
518,Priceline Rewards visa,credit card,,https://www.pricelinevisa.com/apply/Landing.action?campaignId=2092&cellNumber=13&referrerid=BCSCD
519,76 Drive Savvy rewards,credit card,,https://eapply.syf.com/eapplygen2/load.do?cHash=140526283014&subActionId=1000&langId=en&brandId=union76
520,5/3 Trio credit card,credit card,Zip: 33772,https://www.53.com/product/apply
521,Victoria Secret Angel card,credit card,,https://c.comenity.net/victoriassecret/public/apply/ApplyIntro.xhtml
522,Nordstrom credit card,credit card,,https://secure.nordstrom.com/InstantCreditApproval/ApplyForCredit.aspx?ProductSelectedForApplication=1
523,Gap credit card,credit card,,https://apply.syf.com/eapply/eapply.action?clientCode=GAP&sitecode=CR_APL_A
524,TJX Rewards,credit card,,https://eapply.syf.com/eapplygen2/load.do?cHash=385211800&subActionId=1000&langId=en&SDP=l2DU0scnUCMxcScPa1pbFEKpzOrK1qABFhSwd8ENXE4EqwiI2qD4h%2FbIeHew3ED1aC0r%2F0x6SRBt6oXzYCgq3tyTtrRDFh3%2Fc7%2BCP7Lm0XQ%3D
525,Discover it ,credit card,,https://www.discovercard.com/application/apply?execution=e1s1&_eventId=lookupProspect
526,Fingerhunt,credit card,,https://www.fingerhut.com/creditApp/index
527,Firestone Complete Auto Care,credit card,,https://www.cfna.com/web/personalservices/firestonecompleteautocare/applynow?referrer=www.google.com
528,Express Next,credit card,,https://www.express.com/account/credit-card-application.jsp
529,JCPenney,credit card,,https://apply.syf.com/eapply/eapply.action?clientCode=JCPCON&cHash=1342177401&subActionId=1000
530,Macys,credit card,,https://citiretailservices.citibankonline.com/CRS/acq/launch/index.action?app=UNSOL&siteId=PLCN_MACYS&langId=EN&sc=80002
531,Kohl's,credit card,,https://apply.kohls.com/
532,Barney's New York,credit card,,https://d.comenity.net/barneysnewyork/public/apply/ApplyIntroQC.xhtml
533,Staples credit card,credit card,,https://citiretailservices.citibankonline.com/CRS/acq/launch/index.action?app=UNSOL&siteId=PLCN_STAPLES&langId=EN&sc=20155#
534,Barclays NFL Extra Points,credit card,,https://www.barclaycardus.com/apply/Application.action?campaignId=2096&cellNumber=6&switchCampaign
535,United credit card,credit card,,https://applynow.chase.com/FlexAppWeb/renderApp.do?PID=UAB1&CAT=0&SPID=FRPV&CELL=6H8X&AFFID=SWlnSnn6x54-majvcVBXt4iJSOxMnDyQng
536,SPG,credit card,,https://www.americanexpress.com/us/credit-cards/card-application/apply/starwood-preferred-credit-card/26129-10-0?pmccode=&intlink=US-Acq-CCSG-Prospect-CardDetails-SPG-Apply-Top#/
537,San Diego County Credit Union,credit card,,https://newaccounts-mobile.sdccu.com/cc/CreditCard.aspx?enc=Kw21Wblm1yxpjJabdoZaDy5h5AZDW3YN5EZazOB45Q4rvAErweGRJ93m67VUDBIroJKN76k9-G8l5vwIPCv2rg
538,HSBC,credit card,,https://apply.us.hsbc.com/apps/servlet/SmartForm.html?formCode=creditcardapply&promoid=CBN&marketingcode=AFF0000018&pStack=AFF0000018_ZZZZZZZZZZ
539,Alliant,credit card,,https://www.alliantcreditunion.com/Clos/VisaLoan/GetNextWork?entityType=VIS&nodeid=7A004B0058005A00740076005700550077004D005A006F005400570033006500730076004A004300620077003D003D00
540,Open Sky,credit card,,https://www.openskycc.com/app/Application?utm_source=not%20set&NID=1862
541,DCU Visa ,credit card,,https://app.loanspq.com/cc/CreditCard.aspx?enc=Kw21Wblm1yxpjJabdoZaD0XYp1-TOLQAnMwltxJ_32kHXNMUiqrd5cBGy1OioMF0
542,Credit One NASCAR,credit card,,https://www.creditonebank.com/pre-qualification/data-entry/indexB?C1BSourceID=C1ON&C1BDescriptorID=CB0000L00&C1BSpecificationID=creditonebank.com-nascar&adobe_mc_ref=https%3A%2F%2Fwww.creditonebank.com%2Fnascar%2F&adobe_mc_sdid=SDID%3D3AFE0895F52FFD19-7662AECF0900B68A%7CMCORGID%3D2C7943A1558412C27F000101%2540AdobeOrg%7CTS%3D1523491242
543,Comerica Bank,credit card,,https://online1.elancard.com/oad/apply.personal.controller?method=start
544,Union Bank,credit card,,https://fdnp.unionbank.zootweb.com/consumer/public
545,Rabobank,credit card,,https://online1.elancard.com/oad/apply.personal.controller?method=start
546,Citizens Bank Cash Back Plus World Mastercard,credit card,,https://www.personal.creditcardsapplynow.com/CARDS_APPLY/Application.do?promoCode=CTZCBP&sourceCell=CTCP003
547,Ulta ,credit card,,https://www.ulta.com/creditcards/apply
548,ABOC,credit card,,https://www.platinumrewardsnow.com/ABOC/Amalgamated-Bank-Platinum-Rewards-Card/Blue/ApplyStepOne.aspx?sid=45&hid=220699351&cd=501714&c1=nerdwallet.com&c2=&c3=#two
549,Commerce Bank Visa,credit card,,https://credit.commercebank.com/CreditCards/Home/Disclosure
