[2018-04-17 14:14:10,938][generate_corpus.py:43::<module>()][INFO] Generate corpus\501.corpus
[2018-04-17 14:14:11,235][generate_corpus.py:43::<module>()][INFO] Generate corpus\502.corpus
[2018-04-17 14:14:11,481][generate_corpus.py:43::<module>()][INFO] Generate corpus\503.corpus
[2018-04-17 14:14:11,794][generate_corpus.py:43::<module>()][INFO] Generate corpus\504.corpus
[2018-04-17 14:14:12,669][generate_corpus.py:43::<module>()][INFO] Generate corpus\505.corpus
[2018-04-17 14:14:12,716][generate_corpus.py:45::<module>()][WARNING] 506.html: 2 tags found
[2018-04-17 14:14:12,849][generate_corpus.py:45::<module>()][WARNING] 507.html: 0 tags found
[2018-04-17 14:14:13,235][generate_corpus.py:43::<module>()][INFO] Generate corpus\508.corpus
[2018-04-17 14:14:13,243][generate_corpus.py:45::<module>()][WARNING] 509.html: 0 tags found
[2018-04-17 14:14:13,356][generate_corpus.py:45::<module>()][WARNING] 510.html: 0 tags found
[2018-04-17 14:14:13,889][generate_corpus.py:43::<module>()][INFO] Generate corpus\511.corpus
[2018-04-17 14:14:15,341][generate_corpus.py:43::<module>()][INFO] Generate corpus\512.corpus
[2018-04-17 14:14:15,810][generate_corpus.py:43::<module>()][INFO] Generate corpus\513.corpus
[2018-04-17 14:14:15,825][generate_corpus.py:45::<module>()][WARNING] 514.html: 0 tags found
[2018-04-17 14:14:15,825][generate_corpus.py:45::<module>()][WARNING] 515.html: 0 tags found
[2018-04-17 14:14:15,825][generate_corpus.py:45::<module>()][WARNING] 516.html: 0 tags found
[2018-04-17 14:14:15,935][generate_corpus.py:45::<module>()][WARNING] 517.html: 1 tags found
[2018-04-17 14:14:16,372][generate_corpus.py:43::<module>()][INFO] Generate corpus\518.corpus
[2018-04-17 14:14:17,575][generate_corpus.py:43::<module>()][INFO] Generate corpus\519.corpus
[2018-04-17 14:14:17,575][generate_corpus.py:45::<module>()][WARNING] 520.html: 0 tags found
[2018-04-17 14:14:18,153][generate_corpus.py:43::<module>()][INFO] Generate corpus\521.corpus
[2018-04-17 14:14:19,294][generate_corpus.py:43::<module>()][INFO] Generate corpus\522.corpus
